City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Klaksvik,FO,62.2266,-6.589,33.8,64,75,4.61,broken clouds
216,Middelburg,ZA,-25.7751,29.4648,60.42,86,0,1.63,clear sky
217,Betsiamites,CA,48.9413,-68.646,8.6,66,1,10.36,clear sky
218,Comodoro Rivadavia,AR,-45.8667,-67.5,51.8,71,0,3.89,clear sky
219,Chegdomyn,RU,51.1167,133.0167,-14.03,82,45,1.9,scattered clouds
220,Te Anau,NZ,-45.4167,167.7167,65.03,43,0,2.35,clear sky
221,Fershampenuaz,RU,53.5202,59.8117,12.42,96,100,7.2,overcast clouds
222,Keningau,MY,5.3378,116.1602,84.2,79,20,3.44,few clouds
223,Poum,NC,-20.2333,164.0167,81.05,72,15,9.51,few clouds
224,Caravelas,BR,-17.7125,-39.2481,75.34,88,0,5.79,clear sky
225,College,US,64.8569,-147.8028,1.0,70,40,3.18,scattered clouds
226,Sao Filipe,CV,14.8961,-24.4956,74.64,55,97,9.78,overcast clouds
227,Nur,PL,52.6683,22.3221,30.0,76,98,3.0,light snow
228,Januaria,BR,-15.4833,-44.3667,75.2,59,73,1.45,broken clouds
229,Wanaka,NZ,-44.7,169.15,67.51,42,1,2.91,clear sky
230,Elliot Lake,CA,46.3834,-82.6331,15.8,73,1,5.75,clear sky
231,Shuangcheng,CN,45.35,126.2833,-5.8,71,0,8.95,clear sky
232,Slave Lake,CA,55.2834,-114.769,1.4,78,1,5.75,clear sky
233,Bestobe,KZ,52.4994,73.0975,13.78,90,63,6.96,broken clouds
234,Balkhash,KZ,46.844,74.9804,10.4,85,0,13.42,clear sky
235,Koch Bihar,IN,26.3167,89.4333,62.58,43,0,4.09,clear sky
236,Hobyo,SO,5.3505,48.5268,74.88,79,36,15.43,scattered clouds
237,The Valley,AI,18.217,-63.0578,77.0,83,40,5.75,scattered clouds
238,Alta Floresta,BR,-9.8756,-56.0861,72.01,94,83,1.59,broken clouds
239,Bonthe,SL,7.5264,-12.505,77.2,88,3,3.74,clear sky
