City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,81.99,moderate rain,-0.6,73.0833,Scoop Guest House
5,Cape Town,ZA,70.0,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
6,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
8,Arraial Do Cabo,BR,76.71,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
10,Mayumba,GA,78.28,light rain,-3.432,10.6554,LIKWALE LODGE
13,Puerto Ayora,EC,77.0,light rain,-0.7393,-90.3518,Castillo Galapagos
21,Busselton,AU,84.0,clear sky,-33.65,115.3333,Observatory Guest House
22,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
24,Hobart,AU,75.2,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
25,Rikitea,PF,80.19,few clouds,-23.1203,-134.9692,Pension Maro'i
28,Butaritari,KI,80.56,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
31,Sao Filipe,CV,74.86,overcast clouds,14.8961,-24.4956,Tortuga B&B
34,Saint-Philippe,RE,84.2,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Bambous Virieux,MU,84.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
51,Japura,ID,85.15,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
53,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
58,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
59,Rio Grande,BR,75.0,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
63,Atuona,PF,78.49,few clouds,-9.8,-139.0333,Villa Enata
64,Victoria,HK,70.0,clear sky,22.2855,114.1577,Mini Hotel Central
65,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Sompeta,IN,79.07,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
75,Pathein,MM,86.54,clear sky,16.7833,94.7333,Pathein Hotel
80,Baracoa,CU,71.04,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
92,New Norfolk,AU,75.2,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
94,Cidreira,BR,74.82,scattered clouds,-30.1811,-50.2056,Hotel Castelo
103,Maragogi,BR,77.32,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
110,Angoche,MZ,79.21,overcast clouds,-16.2325,39.9086,Guest House HESADA
114,Popondetta,PG,89.49,scattered clouds,-8.7537,148.2534,Timos Transit House
115,Esperance,AU,75.2,clear sky,-33.8667,121.9,Hospitality Esperance
116,Cooma,AU,71.6,broken clouds,-36.2333,149.1333,High Country Motel
117,Tezu,IN,71.26,broken clouds,27.9167,96.1667,Circuit House
118,Lorengau,PG,83.48,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
124,Morant Bay,JM,78.8,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
125,Cayenne,GF,77.0,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
130,Biak,ID,84.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
131,Puerto Leguizamo,CO,73.65,scattered clouds,-0.1934,-74.7819,la casona de juancho
139,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
142,Takaungu,KE,78.8,scattered clouds,-3.6837,39.8566,Takaungu House
145,Entre Rios,BR,70.47,overcast clouds,-11.9419,-38.0844,Jambalaya Pousada
157,Itaituba,BR,73.81,overcast clouds,-4.2761,-55.9836,Hotel Campos
159,Kieta,PG,85.5,light rain,-6.2167,155.6333,
161,Coahuayana,MX,72.72,overcast clouds,18.7333,-103.6833,Hotel Los Arcos
163,Bengkulu,ID,86.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
164,Yeppoon,AU,87.8,scattered clouds,-23.1333,150.7333,Villa Mar Colina
169,Tomatlan,MX,74.01,scattered clouds,19.9333,-105.25,Norma franco
170,Kahului,US,73.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
175,Lajas,PR,73.0,few clouds,18.05,-67.0593,Oasis Parador Hotel
176,Jambi,ID,84.43,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
181,Ixtapa,MX,72.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
182,Caravelas,BR,75.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
185,Port-Gentil,GA,80.37,overcast clouds,-0.7193,8.7815,Fengshui Residence
190,Ngunguru,NZ,71.01,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
196,Santa Fe,AR,75.0,clear sky,-31.6333,-60.7,Conquistador Hotel
197,Honolulu,US,78.8,broken clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
206,Gangawati,IN,77.61,few clouds,15.4333,76.5333,Ashoka
208,Hobyo,SO,75.88,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
210,Kaeo,NZ,71.01,broken clouds,-35.1,173.7833,Bushido Lodge
211,Mogadishu,SO,74.41,scattered clouds,2.0371,45.3438,Hotel Juba
214,Kavieng,PG,84.54,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
215,Panama City,PA,75.2,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
222,Kota Belud,MY,84.2,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
223,Pangkalanbuun,ID,80.55,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
224,Ribas Do Rio Pardo,BR,73.02,overcast clouds,-20.4431,-53.7592,Pousada Avenida
226,Quatre Cocos,MU,84.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
228,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
229,Bima,ID,82.99,overcast clouds,-8.4667,118.7167,Lambitu Hotel
232,Sabang,ID,81.39,broken clouds,5.8933,95.3214,Hotel Citra
234,Buala,SB,85.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
237,Keffi,NG,70.97,few clouds,8.8486,7.8736,Imam Family
238,Ciudad Guayana,VE,77.0,few clouds,8.3533,-62.6528,Hotel Las Americas
244,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
248,Puerto Escondido,MX,78.8,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
252,Brisbane,AU,89.01,scattered clouds,-27.4679,153.0281,Royal On The Park Brisbane
254,Piacabucu,BR,77.59,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
256,San Benito Abad,CO,76.62,overcast clouds,8.929,-75.0271,Hotel San Benito
257,Sao Felix Do Xingu,BR,71.65,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
264,Norsup,VU,82.89,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
269,Kattivakkam,IN,80.6,mist,13.2167,80.3167,Raj's villa
271,Faanui,PF,81.23,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
284,Gamba,GA,77.38,moderate rain,-2.65,10.0,
285,Vanimo,PG,83.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
292,Hukuntsi,BW,70.75,broken clouds,-24.0,21.75,Entabeni Hotel
293,Padang,ID,84.2,scattered clouds,-0.9492,100.3543,Mercure Padang
294,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
297,Viesca,MX,71.6,scattered clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
298,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
300,Shenzhen,CN,71.01,clear sky,22.5455,114.0683,Shun Hing Square
